Zona Operativa,Coordenadas del Poligono
AGU131A,"-58.4102211068,-34.5775676550,0 -58.4102611385,-34.5774963485,0 -58.4104069956,-34.5774273382,0 -58.4105394507,-34.5774376892,0 -58.4111848184,-34.5771820971,0 -58.4116520572,-34.5778558038,0 -58.4117628786,-34.5778704163,0 -58.4118664247,-34.5780163988,0 -58.4118628881,-34.5781081297,0 -58.4110497986,-34.5784163380,0 -58.4109687647,-34.5784015188,0 -58.4108576044,-34.5784487010,0 -58.4107480071,-34.5782525886,0 -58.4106216263,-34.5782476509,0 -58.4102211068,-34.5775676550,0"
AGU131B,"-58.4102211068,-34.5775676550,0 -58.4106216263,-34.5782476509,0 -58.4107480071,-34.5782525886,0 -58.4108576044,-34.5784487010,0 -58.4108067763,-34.5784933673,0 -58.4097257687,-34.5789089836,0 -58.4096549160,-34.5788872974,0 -58.4094535635,-34.5789315417,0 -58.4093774578,-34.5788079702,0 -58.4092734494,-34.5787846258,0 -58.4090786875,-34.5784208405,0 -58.4093930827,-34.5783067869,0 -58.4092191580,-34.5779996582,0 -58.4102211068,-34.5775676550,0"
AGU131C,"-58.4111848184,-34.5771820971,0 -58.4112043987,-34.5770952665,0 -58.4113804912,-34.5769988952,0 -58.4114601302,-34.5770302605,0 -58.4120125649,-34.5768029029,0 -58.4124881440,-34.5775432892,0 -58.4125600068,-34.5775478267,0 -58.4126485041,-34.5777076102,0 -58.4126286144,-34.5777719825,0 -58.4120864107,-34.5779996724,0 -58.4122057654,-34.5781860231,0 -58.4119700490,-34.5782817332,0 -58.4118628881,-34.5781081297,0 -58.4118664247,-34.5780163988,0 -58.4117628786,-34.5778704163,0 -58.4116520572,-34.5778558038,0 -58.4111848184,-34.5771820971,0"
AGU131D,"-58.4108067763,-34.5784933673,0 -58.4108576044,-34.5784487010,0 -58.4109687647,-34.5784015188,0 -58.4110497986,-34.5784163380,0 -58.4113993753,-34.5790320782,0 -58.4111555633,-34.5791250431,0 -58.4108067763,-34.5784933673,0"
Zona no identificada,"-58.4055356042,-34.5828102959,0 -58.4057184280,-34.5831144579,0 -58.4061473985,-34.5831165433,0 -58.4062372752,-34.5831684003,0 -58.4062322230,-34.5833449179,0 -58.4054538620,-34.5833409821,0 -58.4054367411,-34.5832546437,0 -58.4053577581,-34.5832043914,0 -58.4051710484,-34.5829590179,0 -58.4055356042,-34.5828102959,0"
AGU134B,"-58.4034620250,-34.5821372783,0 -58.4032375095,-34.5818676377,0 -58.4041158982,-34.5815988743,0 -58.4051710484,-34.5829590179,0 -58.4053577581,-34.5832043914,0 -58.4043799063,-34.5831810868,0 -58.4043473697,-34.5832331920,0 -58.4042280373,-34.5832313249,0 -58.4042221012,-34.5833282877,0 -58.4038998013,-34.5833231618,0 -58.4039009284,-34.5831238618,0 -58.4031695814,-34.5822418828,0 -58.4034620250,-34.5821372783,0"
Zona no identificada,"-58.4021499781,-34.5821907718,0 -58.4029198711,-34.5819505516,0 -58.4031695814,-34.5822418828,0 -58.4039009284,-34.5831238618,0 -58.4038998013,-34.5833231618,0 -58.4042221012,-34.5833282877,0 -58.4042280373,-34.5832313249,0 -58.4043473697,-34.5832331920,0 -58.4043799063,-34.5831810868,0 -58.4053577581,-34.5832043914,0 -58.4054367411,-34.5832546437,0 -58.4054538620,-34.5833409821,0 -58.4043859078,-34.5833609873,0 -58.4027770555,-34.5833281161,0 -58.4027918110,-34.5831180444,0 -58.4024892948,-34.5831173036,0 -58.4021499781,-34.5821907718,0"
AGU134D,"-58.4036429929,-34.5813626818,0 -58.4036881684,-34.5813295328,0 -58.4038331229,-34.5812231663,0 -58.4039178722,-34.5811609780,0 -58.4041534176,-34.5815217560,0 -58.4041158982,-34.5815988743,0 -58.4032375095,-34.5818676377,0 -58.4034620250,-34.5821372783,0 -58.4031695814,-34.5822418828,0 -58.4029198711,-34.5819505516,0 -58.4021499781,-34.5821907718,0 -58.4020664787,-34.5821506035,0 -58.4019692213,-34.5819271955,0 -58.4036429929,-34.5813626818,0"
AGU135A,"-58.4116263332,-34.5795486993,0 -58.4115540377,-34.5794179150,0 -58.4140464666,-34.5785462034,0 -58.4141445056,-34.5787216171,0 -58.4136982157,-34.5788800683,0 -58.4136371719,-34.5788564732,0 -58.4133923848,-34.5789322643,0 -58.4133748272,-34.5789835699,0 -58.4128352544,-34.5791744773,0 -58.4127736819,-34.5791477455,0 -58.4125916423,-34.5792151541,0 -58.4125845871,-34.5792674875,0 -58.4116962203,-34.5795685007,0 -58.4116263332,-34.5795486993,0"
AGU135B,"-58.4154297318,-34.5792339829,0 -58.4154759342,-34.5793919714,0 -58.4154488848,-34.5794743551,0 -58.4143098078,-34.5798051315,0 -58.4142090503,-34.5797684895,0 -58.4140074239,-34.5798271588,0 -58.4139689858,-34.5798991262,0 -58.4138436527,-34.5799373210,0 -58.4133200839,-34.5790029386,0 -58.4133748272,-34.5789835699,0 -58.4133923848,-34.5789322643,0 -58.4136371719,-34.5788564732,0 -58.4136982157,-34.5788800683,0 -58.4141445056,-34.5787216171,0 -58.4145126727,-34.5794648810,0 -58.4153466467,-34.5792040563,0 -58.4154297318,-34.5792339829,0"
